#Compiled by SeeTweet 2.2.5.
#Search performed at 2017-06-10 00:34
#Search location: U.S. 4-location coverage points (Texas, KC, SD, SF)
#Search term: "hot+outside"
day,year,month,date,hour,minute,second,source,city,state,lat,long,uid,tid,center,incl
Fri,2017,6,09,18,56,42,citystate,denver,co,39.7391536,-104.9847034,748340323,873252533837459457,0,1
Fri,2017,6,09,18,53,03,failure,NA,NA,NA,NA,915745171,87325161442500198,0,1
Fri,2017,6,09,18,50,23,failure,NA,NA,NA,NA,18601698,87325094044636364,0,1
Fri,2017,6,09,18,46,18,citystate,groves,tx,29.9482695,-93.9171155,628029830,873249912565227521,0,1
Fri,2017,6,09,18,42,57,failure,NA,NA,NA,NA,739443881922682880,87324906962337382,0,1
Fri,2017,6,09,18,40,48,failure,NA,NA,NA,NA,796573922,87324853242531020,0,1
Fri,2017,6,09,18,40,35,citystate,atlanta,ga,33.7489954,-84.3879824,402052901,873248476364247042,0,1
Fri,2017,6,09,18,40,03,knowncity,chicago,unk,41.88,-87.62,240471390,87324834035969638,0,1
Fri,2017,6,09,18,37,58,failure,NA,NA,NA,NA,222603586,87324781542157107,0,1
Fri,2017,6,09,18,37,04,citystate,sioux falls,sd,43.5499749,-96.700327,1326056293,873247591835738112,0,1
Fri,2017,6,09,18,35,46,citystate,atlanta,ga,33.7489954,-84.3879824,830152789481250817,873247265665818624,0,1
Fri,2017,6,09,18,31,50,citystate,new york,ny,40.7142691,-74.0059729,3088235385,873246273251536899,0,1
Fri,2017,6,09,18,26,35,citystate,chicago,il,41.850033,-87.6500523,45859990,873244952070934528,0,1
Fri,2017,6,09,18,24,56,failure,NA,NA,NA,NA,738508874286813185,87324453757304832,0,1
Fri,2017,6,09,18,23,44,failure,NA,NA,NA,NA,537389116,87324423516373401,0,1
Fri,2017,6,09,18,18,26,citystate,nashville,tn,36.1658899,-86.7844432,3131189969,873242900385210368,0,1
Fri,2017,6,09,18,15,41,failure,NA,NA,NA,NA,433852007,87324220810684006,0,1
Fri,2017,6,09,18,11,11,failure,NA,NA,NA,NA,414575638,87324107814046515,0,1
Fri,2017,6,09,18,10,19,failure,NA,NA,NA,NA,39880612,87324085934450278,0,1
Fri,2017,6,09,18,09,16,citystate,state college,pa,40.793395,-77.8600013,767089737613967360,873240595019571200,0,1
Fri,2017,6,09,18,07,34,failure,NA,NA,NA,NA,2513721788,87324016750674739,0,1
