#Compiled by SeeTweet 2.2.5.
#Search performed at 2017-06-23 19:43
#Search location: U.S. 4-location coverage points (Texas, KC, SD, SF)
#Search term: "tractor+trailer"
day,year,month,date,hour,minute,second,source,city,state,lat,long,uid,tid,center,incl
Fri,2017,6,23,09,52,10,knowncity,philadelphia,unk,39.95,-75.17,246288568,87818892566314188,0,1
Fri,2017,6,23,09,50,41,failure,NA,NA,NA,NA,78110149,87818855292806349,0,1
Fri,2017,6,23,09,44,25,citystate,philadelphia,pa,39.952335,-75.163789,849682212970803207,878186974481268736,0,1
Fri,2017,6,23,09,40,42,failure,NA,NA,NA,NA,20571449,87818604035122380,0,1
Fri,2017,6,23,09,21,10,failure,NA,NA,NA,NA,20571449,87818112507148288,0,1
Fri,2017,6,23,09,19,35,failure,NA,NA,NA,NA,78110149,87818072626872729,0,1
Fri,2017,6,23,09,16,32,failure,NA,NA,NA,NA,78365891,87817995799365222,0,1
Fri,2017,6,23,08,00,43,citystate,morgantown,wv,39.629526,-79.9558968,528986496,878160876934746112,0,1
Fri,2017,6,23,07,47,40,citystate,atlanta,ga,33.7489954,-84.3879824,1854717158,878157595386683392,0,1
Fri,2017,6,23,06,59,02,citystate,philadelphia,pa,39.952335,-75.163789,433896969,878145353203294208,0,1
Fri,2017,6,23,06,40,51,citystate,los angeles,ca,34.0522342,-118.2436849,825769378603937792,878140779696451585,0,1
Fri,2017,6,23,06,37,05,failure,NA,NA,NA,NA,466600845,87813982977882931,0,1
Fri,2017,6,23,06,30,32,citystate,tallahassee,fl,30.4382559,-84.2807329,17159134,878138183636185089,0,1
Fri,2017,6,23,06,00,34,citystate,charleston,wv,38.3498195,-81.6326235,25903919,878130639869943808,0,1
Fri,2017,6,23,05,47,03,failure,NA,NA,NA,NA,265649070,87812723859146752,0,1
Fri,2017,6,23,05,41,56,failure,NA,NA,NA,NA,826237527564623872,87812595080574566,0,1
Fri,2017,6,23,05,22,16,failure,NA,NA,NA,NA,87275826,87812100125043097,0,1
Fri,2017,6,23,05,21,14,citystate,charleston,wv,38.3498195,-81.6326235,25903919,878120741690105856,0,1
Fri,2017,6,23,04,50,39,failure,NA,NA,NA,NA,1904590903,87811304649692364,0,1
Fri,2017,6,23,04,42,06,citystate,birmingham,al,33.5206608,-86.80249,4252844212,878110893996822528,0,1
Fri,2017,6,23,04,28,28,citystate,birmingham,al,33.5206608,-86.80249,481706144,878107465891684352,0,1
Fri,2017,6,23,03,38,14,failure,NA,NA,NA,NA,87275826,87809482056423015,0,1
Fri,2017,6,23,03,32,53,failure,NA,NA,NA,NA,750516157950533633,87809347761101619,0,1
Fri,2017,6,23,03,29,12,citystate,baltimore,md,39.2903848,-76.6121893,4886100626,878092549075775488,0,1
Fri,2017,6,23,03,28,46,failure,NA,NA,NA,NA,46562486,87809244154662092,0,1
Fri,2017,6,23,03,14,12,failure,NA,NA,NA,NA,87275826,87808877565352345,0,1
Fri,2017,6,23,03,07,01,citystate,tallahassee,fl,30.4382559,-84.2807329,23335901,878086967073751041,0,1
Fri,2017,6,23,03,05,41,citystate,birmingham,al,33.5206608,-86.80249,14500743,878086630200025090,0,1
Fri,2017,6,23,03,04,28,failure,NA,NA,NA,NA,87275826,87808632453592678,0,1
Fri,2017,6,23,03,01,24,failure,NA,NA,NA,NA,15638479,87808555307334451,0,1
Fri,2017,6,23,02,57,39,failure,NA,NA,NA,NA,257113627,87808460929207091,0,1
Fri,2017,6,23,02,52,36,failure,NA,NA,NA,NA,2741494954,87808333617819238,0,1
Fri,2017,6,23,02,49,54,failure,NA,NA,NA,NA,836017502,87808265851710259,0,1
Fri,2017,6,23,02,35,06,citystate,york,pa,39.9625984,-76.727745,497456245,878078934843179009,0,1
Fri,2017,6,23,02,34,19,failure,NA,NA,NA,NA,836017502,87807873792492748,0,1
Fri,2017,6,23,02,34,06,citystate,york,pa,39.9625984,-76.727745,497456245,878078683067691008,0,1
Fri,2017,6,23,02,32,19,citystate,dayton,oh,39.7589478,-84.1916069,1891173193,878078232595238916,0,1
Fri,2017,6,23,02,00,06,citystate,atlanta,ga,33.7489954,-84.3879824,93059585,878070126444027905,0,1
Fri,2017,6,23,01,59,07,citystate,harrisburg,pa,40.0556669,-75.025171,252273353,878069879122874368,0,1
Fri,2017,6,23,01,48,28,failure,NA,NA,NA,NA,117493879,87806719886601830,0,1
Fri,2017,6,23,01,44,39,citystate,kansas city,mo,39.0997266,-94.5785667,291969640,878066237502234624,0,1
Fri,2017,6,23,01,35,28,citystate,lancaster,pa,40.0378755,-76.3055144,733288314783043584,878063926918864897,0,1
Fri,2017,6,23,01,23,53,failure,NA,NA,NA,NA,864990162333433857,87806101098854400,0,1
Fri,2017,6,23,00,51,59,failure,NA,NA,NA,NA,2898069607,87805298555693465,0,1
Fri,2017,6,23,00,33,00,geo,unk,unk,37.9536006,-121.3255688,23511679,87804820592081305,0,1
Fri,2017,6,23,00,30,05,failure,NA,NA,NA,NA,836017502,87804747384296652,0,1
Fri,2017,6,23,00,23,46,failure,NA,NA,NA,NA,836017502,87804588355984998,0,1
