pid,robot,inference,human_tasks,robot_tasks,both_tasks,total_tasks
ae1661b6,reactive,oracle,22,10,7,39
af70bd16,fixed,oracle,20,14,5,39
af70bd16,predictive,oracle,22,16,1,39
af70bd16,reactive,oracle,24,8,7,39
afb7706f,fixed,bayesian,21,8,10,39
afb7706f,predictive,bayesian,20,17,2,39
afb7706f,reactive,bayesian,22,16,1,39
b1072634,fixed,oracle,18,17,4,39
b1072634,predictive,oracle,20,17,2,39
b1072634,reactive,oracle,19,16,4,39
b2223938,fixed,oracle,19,10,10,39
b2223938,predictive,oracle,28,10,1,39
b2223938,reactive,oracle,20,8,11,39
b28e3fce,fixed,bayesian,20,9,10,39
b28e3fce,predictive,bayesian,24,12,3,39
b28e3fce,reactive,bayesian,18,13,8,39
b29e6fb3,fixed,bayesian,17,15,7,39
b29e6fb3,predictive,bayesian,14,23,2,39
b29e6fb3,reactive,bayesian,14,19,6,39
b354636d,fixed,oracle,16,15,8,39
b354636d,predictive,oracle,16,22,1,39
b354636d,reactive,oracle,15,18,6,39
b4b496e8,fixed,oracle,20,14,5,39
b4b496e8,predictive,oracle,22,17,0,39
b4b496e8,reactive,oracle,20,13,6,39
b4d7b347,fixed,bayesian,23,7,9,39
b4d7b347,predictive,bayesian,23,12,4,39
b4d7b347,reactive,bayesian,23,8,8,39
b64c9875,fixed,bayesian,19,11,9,39
b64c9875,predictive,bayesian,20,14,5,39
b64c9875,reactive,bayesian,21,10,8,39
b676cd55,fixed,bayesian,17,17,5,39
b676cd55,predictive,bayesian,15,20,4,39
b676cd55,reactive,bayesian,14,18,7,39
b6d054f5,fixed,oracle,21,12,6,39
b6d054f5,predictive,oracle,20,17,2,39
b6d054f5,reactive,oracle,21,17,1,39
b9d3f9bb,fixed,oracle,18,13,8,39
b9d3f9bb,predictive,oracle,19,20,0,39
b9d3f9bb,reactive,oracle,22,11,6,39
bdcfa4ef,fixed,bayesian,22,10,7,39
bdcfa4ef,predictive,bayesian,24,7,8,39
bdcfa4ef,reactive,bayesian,21,11,7,39
bf17f9b4,fixed,bayesian,23,7,9,39
bf17f9b4,predictive,bayesian,20,16,3,39
bf17f9b4,reactive,bayesian,21,11,7,39
c01b38d4,fixed,bayesian,20,12,7,39
c01b38d4,predictive,bayesian,16,17,6,39
c01b38d4,reactive,bayesian,23,9,7,39
c02c69ec,fixed,bayesian,14,18,7,39
c02c69ec,predictive,bayesian,11,24,4,39
c02c69ec,reactive,bayesian,15,13,11,39
c1962e3c,fixed,bayesian,19,11,9,39
c1962e3c,predictive,bayesian,21,14,4,39
c1962e3c,reactive,bayesian,18,12,9,39
c372ae18,fixed,bayesian,19,12,8,39
c372ae18,predictive,bayesian,20,17,2,39
c372ae18,reactive,bayesian,19,14,6,39
c7608d01,fixed,bayesian,21,7,11,39
c7608d01,predictive,bayesian,26,6,7,39
c7608d01,reactive,bayesian,24,9,6,39
c8751701,fixed,oracle,18,13,8,39
c8751701,predictive,oracle,23,16,0,39
c8751701,reactive,oracle,20,17,2,39
ca1ee623,fixed,oracle,18,18,3,39
ca1ee623,predictive,oracle,16,22,1,39
ca1ee623,reactive,oracle,20,18,1,39
ca8bae32,fixed,oracle,17,15,7,39
ca8bae32,predictive,oracle,17,21,1,39
ca8bae32,reactive,oracle,17,17,5,39
cbd9456e,fixed,bayesian,21,8,10,39
cbd9456e,predictive,bayesian,22,9,8,39
cbd9456e,reactive,bayesian,23,10,6,39
cd895a66,fixed,bayesian,19,13,7,39
cd895a66,predictive,bayesian,20,16,3,39
